#{"t_start": 1771500540.2908065, "env_id": "commonroad-v1"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
331.881732,1,623.994395,0,0,1,0,0
672.916606,29,626.365543,1,0,0,0,0
331.773491,1,626.473408,0,0,1,0,0
781.164034,42,627.321388,0,0,1,0,0
331.800057,1,627.388361,0,0,0,0,1
-109.512477,2,627.557353,0,0,1,0,0
116.508541,9,627.948929,1,0,0,0,0
353.154725,17,629.293676,0,0,1,0,0
331.826744,1,629.381588,0,0,0,0,1
386.471887,14,629.906494,0,0,1,0,0
4.178329,6,630.341023,0,0,1,0,0
-8.153002,7,631.633639,0,0,1,0,0
324.129458,1,632.097034,0,0,1,0,0
309.208348,14,632.464294,0,0,1,0,0
331.80005,1,632.646452,0,0,0,0,1
475.103664,18,634.819065,0,0,1,0,0
-101.007044,5,635.80512,0,0,1,0,0
956.439323,37,656.383212,0,0,1,0,0
324.129459,1,656.434268,0,0,1,0,0
-121.011745,1,656.631477,0,0,1,0,0
331.888922,1,656.691762,0,0,1,0,0
331.826745,1,656.995205,0,0,0,0,1
253.187292,14,657.709766,0,0,1,0,0
302.535946,18,659.297064,0,0,1,0,0
331.800054,1,659.505181,0,0,0,0,1
39.446047,9,660.36307,0,0,1,0,0
-175.477405,8,661.135925,0,0,1,0,0
246.999368,12,661.570199,0,0,1,0,0
331.90969,1,661.615815,0,0,1,0,0
365.272925,18,668.759259,0,0,1,0,0
149.43846,20,669.210387,0,0,1,0,0
331.846562,1,669.262857,0,0,1,0,0
331.939541,1,669.763672,0,0,0,0,1
369.784023,21,671.620735,0,0,1,0,0
331.99729,1,671.91258,0,0,0,0,1
286.298273,15,672.487236,0,0,1,0,0
331.968286,1,672.900919,0,0,0,0,1
927.503777,39,675.639739,0,0,1,0,0
361.199734,18,676.394623,0,0,1,0,0
-149.252757,5,676.616283,0,0,1,0,0
154.504691,9,676.877703,0,0,1,0,0
331.997287,1,676.93862,0,0,0,0,1
540.71339,27,678.79324,0,0,1,0,0
331.881734,1,678.889791,0,0,1,0,0
479.703095,18,679.70463,0,0,1,0,0
331.495017,16,680.898574,0,0,1,0,0
331.930999,1,681.208405,0,0,0,0,1
