#{"t_start": 1771280712.541704, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
28.863408,1,7954.959626,0,0,0,0,1
66.788758,13,7957.308574,0,0,1,0,0
-158.034737,4,7962.435838,0,0,1,0,0
28.99729,1,7962.73956,0,0,0,0,1
-223.793572,12,7964.79166,0,0,1,0,0
37.778864,1,7965.147475,0,0,0,0,1
478.888918,1,7965.599844,0,0,1,0,0
28.826743,1,7966.061054,0,0,0,0,1
478.90969,1,7966.536464,0,0,1,0,0
1782.13722,70,7989.848309,0,0,1,0,0
28.99729,1,7996.386537,0,0,0,0,1
37.93954,1,7996.811219,0,0,0,0,1
-127.714213,7,7999.977901,0,0,1,0,0
-153.616911,3,8005.181977,0,0,1,0,0
63.948209,11,8009.050718,0,0,1,0,0
28.778864,1,8009.484303,0,0,0,0,1
28.93954,1,8009.893223,0,0,0,0,1
28.859287,1,8010.305444,1,0,0,0,0
52.896753,2,8012.67277,0,0,1,0,0
428.972811,21,8030.814951,0,0,1,0,0
96.906055,11,8034.015765,0,0,1,0,0
28.778864,1,8034.475489,0,0,0,0,1
711.247195,34,8039.512007,0,0,1,0,0
28.938687,1,8039.871297,0,0,0,0,1
23.611898,1,8040.42423,0,0,1,0,0
478.846564,1,8040.76003,0,0,1,0,0
28.931002,1,8041.122882,0,0,0,0,1
630.360152,10,8043.864003,0,0,0,0,1
-9.626156,8,8045.046742,0,0,1,0,0
37.931001,1,8045.437063,0,0,0,0,1
28.93954,1,8045.825171,0,0,0,0,1
37.99729,1,8046.247807,0,0,0,0,1
546.997891,24,8057.750827,0,0,1,0,0
-122.372408,6,8059.357306,0,0,1,0,0
709.24386,34,8079.309015,0,0,1,0,0
165.993025,14,8082.530389,0,0,1,0,0
714.334127,42,8089.539303,0,0,1,0,0
222.504872,15,8091.936873,1,0,0,0,0
28.93954,1,8092.329957,0,0,0,0,1
-190.456682,9,8093.807462,0,0,1,0,0
219.857063,13,8097.310948,0,0,1,0,0
28.800053,1,8097.869712,0,0,0,0,1
28.826743,1,8098.305746,0,0,0,0,1
28.968284,1,8098.705909,0,0,0,0,1
-198.663258,8,8099.79619,0,0,1,0,0
-124.770581,3,8103.636682,0,0,1,0,0
37.93954,1,8104.001281,0,0,0,0,1
306.521299,17,8107.43389,0,0,1,0,0
118.859961,12,8116.666064,0,0,1,0,0
-206.565173,5,8119.610009,0,0,1,0,0
28.778864,1,8119.956789,0,0,0,0,1
28.99729,1,8120.359187,0,0,0,0,1
-124.49231,3,8124.268061,0,0,1,0,0
-139.730066,5,8127.455897,1,0,0,0,0
28.82862,1,8127.843006,0,0,0,0,1
37.93954,1,8128.270376,0,0,0,0,1
490.258371,21,8138.138534,0,0,1,0,0
-7.860076,8,8139.325282,0,0,1,0,0
36.149817,10,8144.094117,0,0,1,0,0
321.393201,17,8148.072832,0,0,1,0,0
17.077024,1,8150.289755,0,0,1,0,0
37.909529,1,8150.63009,0,0,0,0,1
623.458889,28,8166.597287,0,0,1,0,0
1254.147004,55,8197.573543,0,0,1,0,0
28.93954,1,8197.896821,0,0,0,0,1
28.920203,1,8198.422322,0,0,0,0,1
754.044197,38,8207.849229,0,0,1,0,0
144.295427,13,8211.973045,0,0,1,0,0
692.880735,29,8218.529584,1,0,0,0,0
28.99729,1,8218.872685,0,0,0,0,1
216.519854,17,8234.933986,0,0,1,0,0
28.778864,1,8235.258659,0,0,0,0,1
478.881733,1,8235.709511,0,0,1,0,0
28.778864,1,8236.056294,0,0,0,0,1
37.863408,1,8236.4798,0,0,0,0,1
-138.174947,5,8238.798051,0,0,1,0,0
28.93954,1,8239.115383,0,0,0,0,1
931.277936,39,8247.985109,0,0,1,0,0
28.863408,1,8248.365456,0,0,0,0,1
37.93954,1,8248.777599,0,0,0,0,1
212.960987,15,8258.480917,0,0,1,0,0
37.800053,1,8258.848946,0,0,0,0,1
28.920203,1,8259.364794,0,0,0,0,1
969.343611,36,8292.34332,0,0,1,0,0
